Date,^GSPC
1964-02-17,4780000
1964-02-18,4660000
1964-02-19,4280000
1964-02-20,4690000
1964-02-24,5630000
1964-02-25,5010000
1964-02-26,5350000
1964-02-27,5420000
1964-02-28,4980000
1964-03-02,5690000
1964-03-03,5350000
1964-03-04,5250000
1964-03-05,4680000
1964-03-06,4790000
1964-03-09,5510000
1964-03-10,5500000
1964-03-11,6180000
1964-03-12,5290000
1964-03-13,5660000
1964-03-16,5140000
1964-03-17,5480000
1964-03-18,5890000
1964-03-19,5670000
1964-03-20,5020000
1964-03-23,4940000
1964-03-24,5210000
1964-03-25,5420000
1964-03-26,5760000
1964-03-30,6060000
1964-03-31,5270000
1964-04-01,5510000
1964-04-02,6840000
1964-04-03,5990000
1964-04-06,5840000
1964-04-07,5900000
1964-04-08,5380000
1964-04-09,5300000
1964-04-10,4990000
1964-04-13,5330000
1964-04-14,5120000
1964-04-15,5270000
1964-04-16,5240000
1964-04-17,6030000
1964-04-20,5560000
1964-04-21,5750000
1964-04-22,5390000
1964-04-23,6690000
1964-04-24,5610000
1964-04-27,5070000
1964-04-28,4790000
1964-04-29,6200000
1964-04-30,5690000
1964-05-01,5990000
1964-05-04,5360000
1964-05-05,5340000
1964-05-06,5560000
1964-05-07,5600000
1964-05-08,4910000
1964-05-11,4490000
1964-05-12,5200000
1964-05-13,5890000
1964-05-14,4720000
1964-05-15,5070000
1964-05-18,4590000
1964-05-19,4360000
1964-05-20,4790000
1964-05-21,5350000
1964-05-22,4640000
1964-05-25,3990000
1964-05-26,4290000
1964-05-27,4450000
1964-05-28,4560000
1964-06-01,4300000
1964-06-02,4180000
1964-06-03,3990000
1964-06-04,4880000
1964-06-05,4240000
1964-06-08,4010000
1964-06-09,4470000
1964-06-10,4170000
1964-06-11,3620000
1964-06-12,3840000
1964-06-15,4110000
1964-06-16,4590000
1964-06-17,5340000
1964-06-18,4730000
1964-06-19,4050000
1964-06-22,4540000
1964-06-23,4060000
1964-06-24,4840000
1964-06-25,5010000
1964-06-26,4440000
1964-06-29,4380000
1964-06-30,4360000
1964-07-01,5320000
1964-07-02,5230000
1964-07-06,5080000
1964-07-07,5240000
1964-07-08,4760000
1964-07-09,5040000
1964-07-10,5420000
1964-07-13,4800000
1964-07-14,4760000
1964-07-15,4610000
1964-07-16,4640000
1964-07-17,4640000
1964-07-20,4390000
1964-07-21,4570000
1964-07-22,4570000
1964-07-23,4560000
1964-07-24,4210000
1964-07-27,4090000
1964-07-28,3860000
1964-07-29,4050000
1964-07-30,4530000
1964-07-31,4220000
1964-08-03,3780000
1964-08-04,4780000
1964-08-05,6160000
1964-08-06,3940000
1964-08-07,3190000
1964-08-10,3050000
1964-08-11,3450000
1964-08-12,4140000
1964-08-13,4600000
1964-08-14,4080000
1964-08-17,3780000
1964-08-18,4180000
1964-08-19,4160000
1964-08-20,3840000
1964-08-21,3620000
1964-08-24,3790000
1964-08-25,3780000
1964-08-26,3300000
1964-08-27,3560000
1964-08-28,3760000
1964-08-31,3340000
1964-09-01,4650000
1964-09-02,4800000
1964-09-03,4310000
1964-09-04,4210000
1964-09-08,4090000
1964-09-09,5690000
1964-09-10,5470000
1964-09-11,5630000
1964-09-14,5370000
1964-09-15,5690000
1964-09-16,4230000
1964-09-17,6380000
1964-09-18,6160000
1964-09-21,5310000
1964-09-22,5250000
1964-09-23,5920000
1964-09-24,5840000
1964-09-25,6170000
1964-09-28,4810000
1964-09-29,5070000
1964-09-30,4720000
1964-10-01,4470000
1964-10-02,4370000
1964-10-05,4850000
1964-10-06,4820000
1964-10-07,5090000
1964-10-08,5060000
1964-10-09,5290000
1964-10-12,4110000
1964-10-13,5400000
1964-10-14,4530000
1964-10-15,6500000
1964-10-16,5140000
1964-10-19,5010000
1964-10-20,5140000
1964-10-21,5170000
1964-10-22,4670000
1964-10-23,3830000
1964-10-26,5230000
1964-10-27,4470000
1964-10-28,4890000
1964-10-29,4390000
1964-10-30,4120000
1964-11-02,4430000
1964-11-04,4720000
1964-11-05,4380000
1964-11-06,4810000
1964-11-09,4560000
1964-11-10,5020000
1964-11-11,3790000
1964-11-12,5250000
1964-11-13,4860000
1964-11-16,4870000
1964-11-17,5920000
1964-11-18,6560000
1964-11-19,5570000
1964-11-20,5210000
1964-11-23,4860000
1964-11-24,5070000
1964-11-25,4800000
1964-11-27,4070000
1964-11-30,4890000
1964-12-01,4940000
1964-12-02,4930000
1964-12-03,4250000
1964-12-04,4340000
1964-12-07,4770000
1964-12-08,4990000
1964-12-09,5120000
1964-12-10,4790000
1964-12-11,4530000
1964-12-14,4340000
1964-12-15,5340000
1964-12-16,4610000
1964-12-17,4850000
1964-12-18,4630000
1964-12-21,4470000
1964-12-22,4520000
1964-12-23,4470000
1964-12-24,3600000
1964-12-28,3990000
1964-12-29,4450000
1964-12-30,5610000
1964-12-31,6470000
1965-01-04,3930000
1965-01-05,4110000
1965-01-06,4850000
1965-01-07,5080000
1965-01-08,5340000
1965-01-11,5440000
1965-01-12,5400000
1965-01-13,6160000
1965-01-14,5810000
1965-01-15,5340000
1965-01-18,5550000
1965-01-19,5550000
1965-01-20,5550000
1965-01-21,4780000
1965-01-22,5430000
1965-01-25,5370000
1965-01-26,5760000
1965-01-27,6010000
1965-01-28,6730000
1965-01-29,6940000
1965-02-01,5690000
1965-02-02,5460000
1965-02-03,6130000
1965-02-04,6230000
1965-02-05,5690000
1965-02-08,6010000
1965-02-09,5690000
1965-02-10,7210000
1965-02-11,5800000
1965-02-12,4960000
